Community,Size,Avg_Topic_Score,Density,Internal_Edges,External_Edges,Conductance,Degree_Centralization,Betweenness_Centralization
0,8,3.955450743569492,0.4642857142857143,13,48,0.7868852459016393,0.5612244897959184,0.3421201814058956
1,7,4.805084628841795,0.5714285714285714,12,55,0.8208955223880597,0.32539682539682535,0.2882539682539682
2,10,4.447000146151963,0.7111111111111111,32,66,0.673469387755102,0.671604938271605,0.06334876543209876
3,4,0.4227472215514572,1.0,6,3,0.3333333333333333,0.0,0.0
