Community,Size,Avg_Topic_Score,Density,Internal_Edges,External_Edges,Conductance,Degree_Centralization,Betweenness_Centralization
0,8,6.009848653222289,0.5,14,50,0.78125,0.326530612244898,0.3299319727891156
1,8,3.3642647519366022,0.5,14,45,0.7627118644067796,0.40816326530612235,0.1405895691609977
2,6,6.297092928801526,0.8666666666666667,13,65,0.8333333333333334,0.13333333333333328,0.006666666666666666
3,7,3.625915781790389,0.6190476190476191,13,46,0.7796610169491526,0.31746031746031744,0.09269841269841267
4,3,0.4825820347153025,0.6666666666666666,2,0,0.0,0.16666666666666666,0.6666666666666667
