Community,Size,Avg_Topic_Score,Density,Internal_Edges,External_Edges,Conductance,Degree_Centralization,Betweenness_Centralization
0,5,9.909086739392183,0.6,6,0,0.0,0.32500000000000007,0.2583333333333333
1,5,3.797148376806869,0.7,7,0,0.0,0.3,0.20000000000000007
