Author,Topic_Score,Weighted_Degree,Degree,Degree_Centrality,Betweenness_Centrality,Closeness_Centrality,Eigenvector_Centrality
Argentina,2.1486172513465647,15.464690562185066,4,0.4,0.0,0.625,0.2206474589579046
Chile,2.721346128447339,26.45152587761728,7,0.7000000000000001,0.016666666666666666,0.7692307692307693,0.3453337349085623
Netherlands,1.7193504024176964,15.309303872809606,6,0.6000000000000001,0.0,0.7142857142857143,0.3170909549260707
Belgium,2.4397674746113327,20.578535551883146,7,0.7000000000000001,0.029629629629629634,0.7692307692307693,0.3399329143376962
United Kingdom,4.9265423807886695,25.54942545269831,4,0.4,0.022222222222222223,0.625,0.17845223323785117
United States,2.388614730314437,27.91015336496213,9,0.9,0.10555555555555554,0.9090909090909091,0.38993008787181516
Australia,6.165617630195003,22.30001327281119,2,0.2,0.0,0.5555555555555556,0.08503001114467786
France,1.715879706511776,19.348775860871473,8,0.8,0.05370370370370369,0.8333333333333334,0.3670881284601897
Germany,1.2490242808841687,12.957673265141969,6,0.6000000000000001,0.0,0.7142857142857143,0.3170909549260707
New Zealand,6.149823940693041,45.532187547256434,10,1.0,0.2611111111111111,1.0,0.40081402838167135
Russian Federation,1.1082684332451502,8.884302671533536,3,0.30000000000000004,0.0,0.5882352941176471,0.16995652848019205
