Generated_Name,DocumentID,Type,Year,Title,Submitted By,Category,Topic 0 Score,Topic 1 Score,Topic 2 Score,Topic 3 Score,Topic 4 Score,Topic 5 Score,Topic 6 Score,Topic 7 Score,Topic 8 Score,Topic 9 Score,Topic 10 Score,Topic 11 Score,Topic 12 Score,Topic 13 Score,Topic 14 Score,Topic 15 Score,Topic 16 Score,Topic 17 Score,Topic 18 Score,Topic 19 Score
ATCM45_ip001_e.docx,0.0,ip,2023,Report by the CEP Observer to the XXXVII SCAR Delegates’ Meeting,France,Cooperation with other organization,0.0001075268852096,0.0698148378241392,0.0001075268835188,0.0001075268831219,0.088722370214748,0.0001075268846238,0.0001075268842201,0.0001075268848689,0.0682158418364599,0.000107526883937,0.1968660865635966,0.0089888028654357,0.0001075268835151,0.0001075268834051,0.029061410336449,0.0681037855454179,0.4623690829552164,0.0001075268835983,0.0066749861345444,0.0001075268839733
ATCM45_ip002_e.docx,1.0,ip,2023,Report by the CCAMLR Observer to the Forty Fifth Antarctic Treaty Consultative Meeting,CCAMLR,Cooperation with other organization,0.038152923858909,0.6904145198892908,0.0002450980432537,0.0002450980427631,0.0832150057840159,0.0002450980438984,0.0002450980433142,0.07595764703923,0.0002450980422518,0.0002450980425129,0.1084716292708822,0.0002450980442717,0.000245098043796,0.00024509804333,0.0002450980417675,0.0002450980431261,0.0003569015534002,0.000245098043028,0.0002450980439142,0.0002450980430434
ATCM45_ip003_rev1_e.docx,2.0,ip,2023,"Report by the United Kingdom as Depositary Government for the Convention for the Conservation of Antarctic Seals (CCAS) in Accordance with Recommendation XIII-2, Paragraph 2(d) 2021/22",United Kingdom,Operation of antarctic treaty system: Reports,0.7210650807604522,0.0007692307851879,0.0007692307821698,0.0007692307816937,0.0007692307865678,0.0007692307786166,0.0007692307758555,0.0007692307791216,0.0007692307764526,0.0007692307981227,0.000769230781669,0.0007692307951445,0.0007692307815751,0.0007692307750234,0.265088765068856,0.0007692308515261,0.0007692307837767,0.0007692307859938,0.0007692307823125,0.0007692307898818
ATCM45_ip004_e.docx,3.0,ip,2023,Report of the Depositary Government of the Antarctic Treaty and its Protocol in accordance with Recommendation XIII-2,United States,Operation of antarctic treaty system: Reports,0.9712121206676108,0.0015151515212273,0.0015151515226569,0.0015151515249789,0.0015151515359129,0.0015151515221979,0.0015151515222626,0.001515151521962,0.0015151515217761,0.0015151515225642,0.0015151515318619,0.0015151515254484,0.001515151525908,0.0015151515268027,0.0015151515199756,0.0015151515283075,0.0015151515257734,0.0015151515308906,0.0015151518774743,0.0015151515244073
ATCM45_ip005_e.docx,4.0,ip,2023,Republic of Belarus in the System of the Antarctic Treaty. Justification of the status of the Consultative Party of the Antarctic Treaty,Belarus,Operation of the antarctic treaty system: General,0.2675050556634938,0.0001165501190141,0.015609890057995,0.0001165501182762,0.0001165501191908,0.0001165501191914,0.0001165501198227,0.0001165501188473,0.000116550118574,0.0202042085426499,0.0284476664109601,0.0001165501192758,0.2781100496282916,0.0001165501198915,0.0001165501185958,0.0652143529596496,0.3233936251881782,0.0001165501196973,0.0001165501189413,0.0001165501194629
ATCM45_ip006_e.docx,5.0,ip,2023,Report by the SC-CAMLR Observer to the CEP,CCAMLR,Cooperation with other organization,7.19424470467744e-05,0.6272225954410523,0.0180764264403494,7.194244789634501e-05,0.1285926694744188,7.194244750786339e-05,7.194244771054959e-05,0.0639287594540211,7.19424472910713e-05,7.194244768970108e-05,0.0191539329645622,0.0283853498293305,7.194244729621325e-05,7.194244768473754e-05,7.194244808581259e-05,0.0234569449831572,0.0748088989090149,0.015583055580497,7.19424474645842e-05,7.194244792237779e-05
ATCM45_ip007_e.docx,6.0,ip,2023,The Council of Managers of National Antarctic Programs (COMNAP) Annual Report 2022/23,COMNAP,Cooperation with other organization,8.944544086278415e-05,0.0167221489812382,0.4687733218145489,8.944544042706175e-05,0.0205558008335434,8.944544014415788e-05,0.0604986681300257,8.944544039573917e-05,0.0179265823186961,8.944544004155668e-05,0.0149802271324366,0.0358847477122511,8.944543989641828e-05,8.944544055787266e-05,0.0067519023533157,8.944544053734926e-05,0.3005825227470121,0.0564296235736597,8.944544003513449e-05,8.944544037418804e-05
ATCM45_ip007_e.docx,6.0,ip,2023,The Council of Managers of National Antarctic Programs (COMNAP) Annual Report 2022/23,COMNAP,Operation of antarctic treaty system: Reports,8.944544086278415e-05,0.0167221489812382,0.4687733218145489,8.944544042706175e-05,0.0205558008335434,8.944544014415788e-05,0.0604986681300257,8.944544039573917e-05,0.0179265823186961,8.944544004155668e-05,0.0149802271324366,0.0358847477122511,8.944543989641828e-05,8.944544055787266e-05,0.0067519023533157,8.944544053734926e-05,0.3005825227470121,0.0564296235736597,8.944544003513449e-05,8.944544037418804e-05
ATCM45_ip008_e.docx,7.0,ip,2023,Preliminary Survey Responses Regarding Implementation of IMO Polar Code. National Antarctic Programme vessels,COMNAP,Safety and Operations in antarctica,0.0003448275942517,0.0003448275932015,0.3488247059210632,0.0003448275902625,0.0003448275919818,0.0003448275901882,0.113535084737417,0.0003448275883571,0.0003448275926657,0.0003448275956531,0.0003448275959523,0.0267787546300087,0.0003448275915394,0.422605357186857,0.0003448275917589,0.0003448275915217,0.0830836836405168,0.0003448275907609,0.0003448275931986,0.0003448275928429
ATCM45_ip009_e.docx,8.0,ip,2023,Topic Summary: CEP Discussions on Ship Biofouling and Ballast Water Management ,"Australia, New Zealand, United Kingdom",Non-native species and quarantine,0.0317237651680081,0.0959002694485178,0.0572652124417371,4.784689077779215e-05,0.0117987341431745,4.784689095586038e-05,4.784689083922282e-05,0.0120405367685053,0.0143750897793728,0.0877619764034425,0.242187570701669,4.784689097198415e-05,4.784689090194275e-05,0.2797918836304132,0.1531989271148625,4.7846890896007136e-05,4.784689105090013e-05,0.0135254123818381,4.784689133066868e-05,4.7846890734034175e-05
