Topic,Year,Total_Score,Threshold_Used
0,1991.0,27.03005827435865,0.23677614035407946
0,1992.0,19.123453900393034,0.23677614035407946
0,1994.0,22.300767789220888,0.23677614035407946
0,1995.0,12.626641718049015,0.23677614035407946
0,1996.0,19.39711958921242,0.23677614035407946
0,1997.0,19.155186688925774,0.23677614035407946
0,1998.0,2.4124828228861315,0.23677614035407946
0,1999.0,5.88861267394535,0.23677614035407946
0,2000.0,3.394592215533663,0.23677614035407946
0,2001.0,0.2575887293800364,0.23677614035407946
0,2002.0,6.22489397144889,0.23677614035407946
0,2003.0,8.524520298522368,0.23677614035407946
0,2004.0,11.759955348907235,0.23677614035407946
0,2005.0,19.078323122250325,0.23677614035407946
0,2006.0,8.884372803146801,0.23677614035407946
0,2007.0,7.79128388490523,0.23677614035407946
0,2008.0,7.00783218068926,0.23677614035407946
0,2009.0,4.567390604577217,0.23677614035407946
0,2010.0,4.332446024854736,0.23677614035407946
0,2011.0,3.498257392683882,0.23677614035407946
0,2012.0,3.77608059237814,0.23677614035407946
0,2013.0,4.089524210460265,0.23677614035407946
0,2014.0,2.339967383616016,0.23677614035407946
0,2015.0,4.26339313286929,0.23677614035407946
0,2016.0,3.358615535328298,0.23677614035407946
0,2017.0,4.180942120283082,0.23677614035407946
0,2018.0,4.074959477315831,0.23677614035407946
0,2019.0,4.241121722397649,0.23677614035407946
0,2021.0,1.3081059038218446,0.23677614035407946
0,2022.0,4.265393264462383,0.23677614035407946
0,2023.0,5.663559847496746,0.23677614035407946
1,1991.0,0.4836410791674196,0.46621713002255427
1,1992.0,0.5873397809686032,0.46621713002255427
1,1994.0,1.3190555574082459,0.46621713002255427
1,1995.0,0.6030771333386473,0.46621713002255427
1,1996.0,1.0671300152067602,0.46621713002255427
1,1997.0,0.5750745128590347,0.46621713002255427
1,1998.0,0.7021018972340268,0.46621713002255427
1,1999.0,0.691026072300502,0.46621713002255427
1,2000.0,0.6004777398416079,0.46621713002255427
1,2002.0,1.3206671153887455,0.46621713002255427
1,2003.0,1.4736513957659199,0.46621713002255427
1,2004.0,1.3332893671115473,0.46621713002255427
1,2005.0,1.458153680366547,0.46621713002255427
1,2006.0,4.020247830934991,0.46621713002255427
1,2007.0,3.5798187965895027,0.46621713002255427
1,2008.0,3.477885856787462,0.46621713002255427
1,2009.0,3.8066964203834472,0.46621713002255427
1,2010.0,3.1909928978267965,0.46621713002255427
1,2011.0,2.975480448111992,0.46621713002255427
1,2012.0,2.699637630158725,0.46621713002255427
1,2013.0,2.4431881729760194,0.46621713002255427
1,2014.0,1.810229129688098,0.46621713002255427
1,2015.0,1.3476501336866047,0.46621713002255427
1,2016.0,2.0024249980565165,0.46621713002255427
1,2017.0,2.8216957317964875,0.46621713002255427
1,2018.0,2.270778587289703,0.46621713002255427
1,2019.0,1.084460839146665,0.46621713002255427
1,2022.0,1.2293351125361538,0.46621713002255427
1,2023.0,1.7899494745450557,0.46621713002255427
2,1991.0,1.7914686521579295,0.14897800805261296
2,1992.0,1.396124579943769,0.14897800805261296
2,1994.0,2.438935587259128,0.14897800805261296
2,1995.0,1.1287643748200573,0.14897800805261296
2,1996.0,3.3971860421758504,0.14897800805261296
2,1997.0,1.218016769238097,0.14897800805261296
2,1998.0,1.8754906702823844,0.14897800805261296
2,1999.0,3.2196377251808848,0.14897800805261296
2,2000.0,0.9972181787820987,0.14897800805261296
2,2002.0,1.3344115766973905,0.14897800805261296
2,2003.0,0.6052772631814384,0.14897800805261296
2,2004.0,2.83661479446911,0.14897800805261296
2,2005.0,2.0620671112217157,0.14897800805261296
2,2006.0,1.7772838971714164,0.14897800805261296
2,2007.0,4.068911975543409,0.14897800805261296
2,2008.0,4.128422111206171,0.14897800805261296
2,2009.0,3.184017419615449,0.14897800805261296
2,2010.0,2.494961108580266,0.14897800805261296
2,2011.0,2.2204432044333573,0.14897800805261296
2,2012.0,4.400567585813792,0.14897800805261296
2,2013.0,6.447998912653937,0.14897800805261296
2,2014.0,6.069344088830579,0.14897800805261296
2,2015.0,6.378445094661447,0.14897800805261296
2,2016.0,3.3024204036849656,0.14897800805261296
2,2017.0,7.910495716923014,0.14897800805261296
2,2018.0,3.07130719553149,0.14897800805261296
2,2019.0,9.705144478980507,0.14897800805261296
2,2021.0,4.6913661781087255,0.14897800805261296
2,2022.0,4.556172162834863,0.14897800805261296
2,2023.0,4.768353140210161,0.14897800805261296
3,1991.0,1.4523445530234165,0.18886069862078603
3,1992.0,0.8550438503355033,0.18886069862078603
3,1994.0,0.2819849715313586,0.18886069862078603
3,1995.0,0.2531273209701158,0.18886069862078603
3,1996.0,2.3699072408686357,0.18886069862078603
3,1997.0,1.3883956598215803,0.18886069862078603
3,1998.0,0.8276232966705203,0.18886069862078603
3,1999.0,0.7786019551117795,0.18886069862078603
3,2000.0,0.2737757590256032,0.18886069862078603
3,2001.0,0.5755852057647903,0.18886069862078603
3,2002.0,0.9165409727444327,0.18886069862078603
3,2003.0,1.881292306560533,0.18886069862078603
3,2004.0,1.9318703417043133,0.18886069862078603
3,2005.0,3.168742878319317,0.18886069862078603
3,2006.0,4.92014928763805,0.18886069862078603
3,2007.0,3.8816825186382578,0.18886069862078603
3,2008.0,4.29408453420807,0.18886069862078603
3,2009.0,5.139697708656858,0.18886069862078603
3,2010.0,6.922050969012217,0.18886069862078603
3,2011.0,5.789072154708705,0.18886069862078603
3,2012.0,5.532641947193159,0.18886069862078603
3,2013.0,6.974286892697796,0.18886069862078603
3,2014.0,3.996956634950533,0.18886069862078603
