Topic,Submitter,Year,Total_Score,Threshold_Used,Submitter_Total_Contribution,Submitter_Rank
0,United Kingdom,1991.0,2.034968427619585,0.23677614035407946,35.72292637127342,1
0,United Kingdom,1992.0,1.5477456005191268,0.23677614035407946,35.72292637127342,1
0,United Kingdom,1994.0,2.499882270674963,0.23677614035407946,35.72292637127342,1
0,United Kingdom,1995.0,1.2203983997299928,0.23677614035407946,35.72292637127342,1
0,United Kingdom,1996.0,2.0351552779007225,0.23677614035407946,35.72292637127342,1
0,United Kingdom,1997.0,2.6143753607791256,0.23677614035407946,35.72292637127342,1
0,United Kingdom,1998.0,0.7728103924811818,0.23677614035407946,35.72292637127342,1
0,United Kingdom,2002.0,1.4066722394593034,0.23677614035407946,35.72292637127342,1
0,United Kingdom,2003.0,1.8386459341233996,0.23677614035407946,35.72292637127342,1
0,United Kingdom,2004.0,1.495165995702287,0.23677614035407946,35.72292637127342,1
0,United Kingdom,2005.0,3.0964614157186823,0.23677614035407946,35.72292637127342,1
0,United Kingdom,2006.0,1.7397680023197017,0.23677614035407946,35.72292637127342,1
0,United Kingdom,2007.0,1.3425532945306626,0.23677614035407946,35.72292637127342,1
0,United Kingdom,2008.0,1.0204895553364484,0.23677614035407946,35.72292637127342,1
0,United Kingdom,2009.0,0.5875488988854263,0.23677614035407946,35.72292637127342,1
0,United Kingdom,2010.0,0.5779695035301069,0.23677614035407946,35.72292637127342,1
0,United Kingdom,2011.0,0.6276674218139298,0.23677614035407946,35.72292637127342,1
0,United Kingdom,2012.0,0.62013255828469,0.23677614035407946,35.72292637127342,1
0,United Kingdom,2013.0,1.5663174093414658,0.23677614035407946,35.72292637127342,1
0,United Kingdom,2014.0,0.4839840844691108,0.23677614035407946,35.72292637127342,1
0,United Kingdom,2015.0,1.3708042375344083,0.23677614035407946,35.72292637127342,1
0,United Kingdom,2016.0,0.9557369414819628,0.23677614035407946,35.72292637127342,1
0,United Kingdom,2019.0,0.5823076124372059,0.23677614035407946,35.72292637127342,1
0,United Kingdom,2021.0,0.4968145910087216,0.23677614035407946,35.72292637127342,1
0,United Kingdom,2022.0,1.278995776804027,0.23677614035407946,35.72292637127342,1
0,United Kingdom,2023.0,1.909555168787179,0.23677614035407946,35.72292637127342,1
0,Australia,1991.0,1.4858041819298586,0.23677614035407946,32.90796526034174,2
0,Australia,1992.0,0.3901318952011116,0.23677614035407946,32.90796526034174,2
0,Australia,1994.0,0.9579251131338116,0.23677614035407946,32.90796526034174,2
0,Australia,1995.0,0.6273824012927431,0.23677614035407946,32.90796526034174,2
0,Australia,1996.0,1.6514619837015423,0.23677614035407946,32.90796526034174,2
0,Australia,1997.0,0.7339281023153089,0.23677614035407946,32.90796526034174,2
0,Australia,1999.0,0.3213267505371217,0.23677614035407946,32.90796526034174,2
0,Australia,2002.0,0.9309034408914914,0.23677614035407946,32.90796526034174,2
0,Australia,2003.0,1.0765142224758815,0.23677614035407946,32.90796526034174,2
0,Australia,2004.0,4.7816976697790246,0.23677614035407946,32.90796526034174,2
0,Australia,2005.0,2.5776125446830616,0.23677614035407946,32.90796526034174,2
0,Australia,2006.0,1.8075494239458771,0.23677614035407946,32.90796526034174,2
0,Australia,2007.0,1.8241274232169884,0.23677614035407946,32.90796526034174,2
0,Australia,2008.0,2.560082445810588,0.23677614035407946,32.90796526034174,2
0,Australia,2009.0,0.9808573826934338,0.23677614035407946,32.90796526034174,2
0,Australia,2011.0,0.7986597667827233,0.23677614035407946,32.90796526034174,2
0,Australia,2012.0,2.1135719504074912,0.23677614035407946,32.90796526034174,2
0,Australia,2015.0,1.037914173834877,0.23677614035407946,32.90796526034174,2
0,Australia,2016.0,1.2077978765896273,0.23677614035407946,32.90796526034174,2
0,Australia,2017.0,0.7009092060258719,0.23677614035407946,32.90796526034174,2
0,Australia,2022.0,1.073141799447172,0.23677614035407946,32.90796526034174,2
0,Australia,2023.0,3.268665505646136,0.23677614035407946,32.90796526034174,2
0,Chile,1991.0,3.2460734084451426,0.23677614035407946,22.551282305586923,3
0,Chile,1992.0,2.188842989042998,0.23677614035407946,22.551282305586923,3
0,Chile,1994.0,1.9003023386616404,0.23677614035407946,22.551282305586923,3
0,Chile,1996.0,3.8262960582093797,0.23677614035407946,22.551282305586923,3
0,Chile,1997.0,0.842749023482211,0.23677614035407946,22.551282305586923,3
0,Chile,1999.0,0.4020769034411664,0.23677614035407946,22.551282305586923,3
0,Chile,2004.0,0.244701896540485,0.23677614035407946,22.551282305586923,3
0,Chile,2005.0,1.8546242138927391,0.23677614035407946,22.551282305586923,3
0,Chile,2006.0,0.4536620205342478,0.23677614035407946,22.551282305586923,3
0,Chile,2007.0,0.2854880018815845,0.23677614035407946,22.551282305586923,3
0,Chile,2008.0,0.9674272895915008,0.23677614035407946,22.551282305586923,3
0,Chile,2009.0,0.244334032458763,0.23677614035407946,22.551282305586923,3
0,Chile,2010.0,0.8105572508071578,0.23677614035407946,22.551282305586923,3
0,Chile,2011.0,0.3089225071114568,0.23677614035407946,22.551282305586923,3
0,Chile,2014.0,0.3646646768776693,0.23677614035407946,22.551282305586923,3
0,Chile,2015.0,0.2823770210384987,0.23677614035407946,22.551282305586923,3
0,Chile,2016.0,1.0380972309469356,0.23677614035407946,22.551282305586923,3
0,Chile,2017.0,0.8285772416483972,0.23677614035407946,22.551282305586923,3
0,Chile,2019.0,1.0933577469350342,0.23677614035407946,22.551282305586923,3
0,Chile,2022.0,0.5194203396675157,0.23677614035407946,22.551282305586923,3
