Author,Topic_Score,Weighted_Degree,Degree,Degree_Centrality,Betweenness_Centrality,Closeness_Centrality,Eigenvector_Centrality
France,4.83999392337666,5.317652977331287,35,0.5384615384615385,0.0038148124432594013,0.5760104302477184,0.17799519768616376
CCAMLR,0.6234004486373228,0.0386260386588211,4,0.06153846153846154,0.00010960321324245377,0.3734573119188504,0.019137878636828316
United Kingdom,38.900220993212926,18.098136622113124,38,0.5846153846153846,0.005769404379234289,0.6068681318681318,0.18828781574138917
United States,15.039178462218192,4.388268994937417,37,0.5692307692307692,0.0056055362374398555,0.5859416445623342,0.18409136962437536
Belarus,0.0626284445784219,0.0007462686634042,1,0.015384615384615385,0.0,0.298110661268556,0.0040286225785291525
COMNAP,3.3067879120305337,0.8609022141232829,23,0.35384615384615387,0.005702332813545819,0.472008547008547,0.11351477016169118
Australia,16.280327414364756,6.409151915057557,37,0.5692307692307692,0.005013154880836362,0.596221322537112,0.1851105807720434
New Zealand,11.52960557890704,3.4957405600706055,33,0.5076923076923077,0.011232319317140079,0.557124842370744,0.1679776969312417
SCAR,20.948271548761145,6.682614876015061,40,0.6153846153846154,0.05654745679625008,0.6293447293447293,0.17742145456941288
Netherlands,1.1418802101855257,0.4048045097473288,34,0.5230769230769231,0.005261149471896532,0.5664102564102564,0.17338435504846975
Canada,0.2681738384512922,1.0221141210251337,16,0.24615384615384617,0.0009526233570351219,0.43570019723865877,0.08272279420930609
IHO,0.004523271707951943,0.0012658228030452,4,0.06153846153846154,0.0,0.3540064102564102,0.01838128437026378
WMO,0.030153699096799946,0.007465875663294529,23,0.35384615384615387,0.004046769117527543,0.47865655471289276,0.11828801208395878
Chile,7.750317569431569,4.7109346322489225,40,0.6153846153846154,0.017515139405583,0.6293447293447293,0.18919508741683694
Norway,4.122412211695126,4.827972712232088,34,0.5230769230769231,0.0035380440095451166,0.5664102564102564,0.17317045493311536
Portugal,1.1994529691331444,1.2353735670994774,31,0.47692307692307695,0.002095152876007026,0.5394383394383394,0.16075559449507626
Argentina,9.28435945919209,6.290956963153919,33,0.5076923076923077,0.008523858093236513,0.5481389578163771,0.1645073940279225
Korea (ROK),7.256780331459254,6.261807165358835,34,0.5230769230769231,0.002442814605603817,0.5664102564102564,0.17685360668577235
Bulgaria,0.4468775525148343,0.29243336192414904,34,0.5230769230769231,0.0030107800905075175,0.5664102564102564,0.17461398500049188
Germany,9.310773055100718,3.412885919595031,35,0.5384615384615385,0.0038148124432594013,0.5760104302477184,0.17799519768616376
Japan,1.2234703575829695,2.7054841095526414,31,0.47692307692307695,0.0013539147042190632,0.5394383394383394,0.16508678916833353
Belgium,1.658251182801529,2.0581430722183813,39,0.6000000000000001,0.00955577025694632,0.6179020979020978,0.1892673449444777
Spain,8.611603217604387,7.2777448397599915,36,0.5538461538461539,0.004954424458418157,0.5859416445623342,0.1817365545157199
Sweden,0.20084843658529714,0.38590329153530645,33,0.5076923076923077,0.004084000836119353,0.5481389578163771,0.17063559610418122
India,0.6149455352856028,1.2057377051673261,35,0.5384615384615385,0.0028474357798908686,0.5760104302477184,0.1805024771099885
Italy,2.1689355090768534,0.5132932238373572,33,0.5076923076923077,0.002020103011457463,0.5481389578163771,0.17186522605620333
Poland,5.803800997820641,2.0672961001873373,35,0.5384615384615385,0.004284126197283537,0.5760104302477184,0.17838601122488504
South Africa,2.3367977479456212,2.7103120943242534,34,0.5230769230769231,0.003878453153429962,0.5664102564102564,0.17245898367108764
Türkiye,0.9905223507430081,0.8663604825985224,26,0.4,0.026515194564067642,0.4997737556561086,0.12656899381228495
IAATO,3.7154862204060892,2.8846374821350462,34,0.5230769230769231,0.011981297197975301,0.557124842370744,0.16827090600867697
ASOC,6.2055428914248925,5.504859871976555,21,0.3230769230769231,0.0019551062991369312,0.4592515592515592,0.10861833923705756
Uruguay,4.838975105003826,5.580456014067336,31,0.47692307692307695,0.006813420482599979,0.514918414918415,0.15384368849663219
Switzerland,0.023177155558345798,0.0,0,0.0,0.0,0.0,1.3663452255832798e-10
Ecuador,1.0243827942657768,0.6788601913368787,12,0.18461538461538463,0.001978745255250822,0.395169946332737,0.05156633118473729
Brazil,1.692865692669267,3.643161292865223,32,0.49230769230769234,0.009534526713659265,0.5394383394383394,0.15640369258665626
Peru,1.0398675917602214,0.4102164510898595,29,0.4461538461538462,0.010541069935169055,0.4997737556561086,0.14205625323964288
Colombia,0.004873281945031201,0.0045985187783418,8,0.12307692307692308,0.0005086908705329758,0.3776068376068376,0.03222690952214027
Venezuela,0.0005978993760951,0.0041852956326657,7,0.1076923076923077,0.0,0.36939799331103684,0.028322574077634898
China,4.083930736609041,4.138309104468295,22,0.3384615384615385,0.00033360710318028385,0.4655426765015806,0.12018627974153184
Malaysia,0.0020531692943511004,0.0027298850845113,19,0.2923076923076923,0.0,0.447165991902834,0.1029982983027776
Finland,0.5931951843457597,1.7973106794101525,36,0.5538461538461539,0.007511236237568774,0.5859416445623342,0.17833377188450977
Ukraine,1.6552813218981968,1.0841077293244268,26,0.4,0.00046051586084387767,0.49253065774804905,0.14227709110951464
Czechia,1.000748875280736,0.26961097042396537,34,0.5230769230769231,0.002442814605603817,0.5664102564102564,0.17685360668577235
IUCN,2.2019333892772712,0.2019015471197758,2,0.03076923076923077,0.0,0.3540064102564102,0.010993746767068035
