Author,Topic_Score,Weighted_Degree,Degree,Degree_Centrality,Betweenness_Centrality,Closeness_Centrality,Eigenvector_Centrality
France,8.587091568616874,0.7055506791488861,35,0.5384615384615385,0.0038148124432594013,0.5760104302477184,0.17799519768616376
CCAMLR,1.3484956041447385,0.000821180530462329,4,0.06153846153846154,0.00010960321324245377,0.3734573119188504,0.019137878636828316
United Kingdom,61.0531342283377,23.4324768501531,38,0.5846153846153846,0.005769404379234289,0.6068681318681318,0.18828781574138917
United States,55.162041486693056,18.54003457883376,37,0.5692307692307692,0.0056055362374398555,0.5859416445623342,0.18409136962437536
Belarus,0.061250250247176424,0.0007462686614812,1,0.015384615384615385,0.0,0.298110661268556,0.0040286225785291525
COMNAP,1.332758603237856,0.06336738997662798,23,0.35384615384615387,0.005702332813545819,0.472008547008547,0.11351477016169118
Australia,35.98531006448589,14.462212068878976,37,0.5692307692307692,0.005013154880836362,0.596221322537112,0.1851105807720434
New Zealand,41.415437674218,2.2137077548703106,33,0.5076923076923077,0.011232319317140079,0.557124842370744,0.1679776969312417
SCAR,2.992786797150336,1.0935563227144913,40,0.6153846153846154,0.05654745679625008,0.6293447293447293,0.17742145456941288
Netherlands,6.540747398853114,3.981639849058,34,0.5230769230769231,0.005261149471896532,0.5664102564102564,0.17338435504846975
Canada,0.20976270640364253,0.003071788895179237,16,0.24615384615384617,0.0009526233570351219,0.43570019723865877,0.08272279420930609
IHO,0.004523271696802082,0.001265822798654,4,0.06153846153846154,0.0,0.3540064102564102,0.01838128437026378
WMO,0.058339941970137164,0.007465875628075911,23,0.35384615384615387,0.004046769117527543,0.47865655471289276,0.11828801208395878
Chile,29.51607111387425,8.330958323014348,40,0.6153846153846154,0.017515139405583,0.6293447293447293,0.18919508741683694
Norway,14.646471783239072,16.28769502773967,34,0.5230769230769231,0.0035380440095451166,0.5664102564102564,0.17317045493311536
Portugal,0.6395851001347561,0.6232374255678071,31,0.47692307692307695,0.002095152876007026,0.5394383394383394,0.16075559449507626
Argentina,24.80279431071708,23.93667069782065,33,0.5076923076923077,0.008523858093236513,0.5481389578163771,0.1645073940279225
Korea (ROK),4.878508183374283,1.6962826632967083,34,0.5230769230769231,0.002442814605603817,0.5664102564102564,0.17685360668577235
Bulgaria,0.4433407684290633,0.019546013939391687,34,0.5230769230769231,0.0030107800905075175,0.5664102564102564,0.17461398500049188
Germany,5.057799253973527,1.5510044386874215,35,0.5384615384615385,0.0038148124432594013,0.5760104302477184,0.17799519768616376
Japan,3.7147356926408754,0.4056188953290823,31,0.47692307692307695,0.0013539147042190632,0.5394383394383394,0.16508678916833353
Belgium,2.133544152674937,1.7239238452544592,39,0.6000000000000001,0.00955577025694632,0.6179020979020978,0.1892673449444777
Spain,16.109322953540946,15.384616189149934,36,0.5538461538461539,0.004954424458418157,0.5859416445623342,0.1817365545157199
Sweden,1.0980599038816692,1.0747068452843709,33,0.5076923076923077,0.004084000836119353,0.5481389578163771,0.17063559610418122
India,7.87768914487847,8.062995295933089,35,0.5384615384615385,0.0028474357798908686,0.5760104302477184,0.1805024771099885
Italy,7.461435110052701,0.7594421634097401,33,0.5076923076923077,0.002020103011457463,0.5481389578163771,0.17186522605620333
Poland,9.996029421020788,8.779089541639319,35,0.5384615384615385,0.004284126197283537,0.5760104302477184,0.17838601122488504
South Africa,1.9548712586073738,1.3134387333648594,34,0.5230769230769231,0.003878453153429962,0.5664102564102564,0.17245898367108764
Türkiye,0.8263455713666401,1.5522979150982914,26,0.4,0.026515194564067642,0.4997737556561086,0.12656899381228495
IAATO,3.174095105580473,5.699061566587311,34,0.5230769230769231,0.011981297197975301,0.557124842370744,0.16827090600867697
ASOC,3.9245443614840743,6.149767628987402,21,0.3230769230769231,0.0019551062991369312,0.4592515592515592,0.10861833923705756
Uruguay,1.205646769749622,0.48504137755252347,31,0.47692307692307695,0.006813420482599979,0.514918414918415,0.15384368849663219
Switzerland,0.0011294290351152,0.0,0,0.0,0.0,0.0,1.3663452255832798e-10
Ecuador,5.145243144788804,7.854269670216491,12,0.18461538461538463,0.001978745255250822,0.395169946332737,0.05156633118473729
Brazil,6.389830483806391,8.506178306968089,32,0.49230769230769234,0.009534526713659265,0.5394383394383394,0.15640369258665626
Peru,3.533015286617029,2.734897930968675,29,0.4461538461538462,0.010541069935169055,0.4997737556561086,0.14205625323964288
Colombia,0.0048732819187137,0.004598518788404,8,0.12307692307692308,0.0005086908705329758,0.3776068376068376,0.03222690952214027
Venezuela,0.0005978993773767,0.0041852956416369,7,0.1076923076923077,0.0,0.36939799331103684,0.028322574077634898
China,10.204377101967388,10.392098153840983,22,0.3384615384615385,0.00033360710318028385,0.4655426765015806,0.12018627974153184
Malaysia,0.0020531692855909,0.0027298851171438,19,0.2923076923076923,0.0,0.447165991902834,0.1029982983027776
Finland,0.8352402085698609,0.1572151195133963,36,0.5538461538461539,0.007511236237568774,0.5859416445623342,0.17833377188450977
Ukraine,1.522348285420497,0.0407073777280718,26,0.4,0.00046051586084387767,0.49253065774804905,0.14227709110951464
Czechia,0.5152711288730237,0.01994251031491054,34,0.5230769230769231,0.002442814605603817,0.5664102564102564,0.17685360668577235
IUCN,1.3237992908355667,0.00017730496942487768,2,0.03076923076923077,0.0,0.3540064102564102,0.010993746767068035
Russian Federation,10.156881012083797,9.707520953221806,29,0.4461538461538462,0.0011705086616292091,0.514918414918415,0.15343183870681787
Monaco,0.2894618469989518,0.713929257367758,11,0.16923076923076924,2.4038461538461542e-05,0.4045787545787546,0.0610437971061617
IGP&I Clubs,0.001043850461747,0.0,0,0.0,0.0,0.0,1.3663452255832798e-10
Romania,1.8207836660680812,3.493287262579859,22,0.3384615384615385,0.00035138964848278333,0.4655426765015806,0.11714875138534961
IOPC Funds,0.0001396648064299,0.0,0,0.0,0.0,0.0,1.3663452255832798e-10
Estonia,0.0010559378450379,0.0,0,0.0,0.0,0.0,1.3663452255832798e-10
ICAO,0.0011904762207386,0.0,0,0.0,0.0,0.0,1.3663452255832798e-10
ACAP,0.0453516547662936,0.0,0,0.0,0.0,0.0,1.3663452255832798e-10
IMO,0.007690678833206303,0.0,0,0.0,0.0,0.0,1.3663452255832798e-10
Iceland,0.0007936508139802,0.0,0,0.0,0.0,0.0,1.3663452255832798e-10
Kazakhstan,0.0008474576374933,0.0,0,0.0,0.0,0.0,1.3663452255832798e-10
IPCC,0.0002427184528432,0.0,0,0.0,0.0,0.0,1.3663452255832798e-10
Austria,0.0014544548075833001,0.0,0,0.0,0.0,0.0,1.3663452255832798e-10
UNEP,0.09545633050545625,0.0006636441480715656,6,0.09230769230769231,0.0,0.36939799331103684,0.031754666863451624
IPY-IPO,0.0006519572934546352,0.00020706883550870923,1,0.015384615384615385,0.0,0.3398461538461538,0.0056472236893703185
ATS,2.3257584140432286,0.0,0,0.0,0.0,0.0,1.3663452255832798e-10
IOC,0.0014208308197382375,0.0,0,0.0,0.0,0.0,1.3663452255832798e-10
Greece,0.0057684986211896,0.0,0,0.0,0.0,0.0,1.3663452255832798e-10
Slovakia,0.0005747126611995,0.0,0,0.0,0.0,0.0,1.3663452255832798e-10
Denmark,0.0019785760388715,0.0,0,0.0,0.0,0.0,1.3663452255832798e-10
Korea (DPRK),0.0013276397673069999,0.0,0,0.0,0.0,0.0,1.3663452255832798e-10
WTO,0.0384347657507131,0.0,0,0.0,0.0,0.0,1.3663452255832798e-10
