Author,Topic_Score,Paper_Count,Weighted_Degree,Degree,Degree_Centrality,Betweenness_Centrality,Closeness_Centrality,Eigenvector_Centrality,Is_Isolated
CCAMLR,25.51681738763334,39,0.0,0,0.0,0.0,0.0,0.0,True
ASOC,5.314470594764109,9,0.0,0,0.0,0.0,0.0,0.0,True
Argentina,2.1486172513465647,4,15.464690562185066,4,0.4,0.0,0.625,0.2206474589579046,False
Chile,2.721346128447339,5,26.45152587761728,7,0.7000000000000001,0.016666666666666666,0.7692307692307693,0.3453337349085623,False
Netherlands,1.7193504024176964,3,15.309303872809606,6,0.6000000000000001,0.0,0.7142857142857143,0.3170909549260707,False
Belgium,2.4397674746113327,4,20.578535551883146,7,0.7000000000000001,0.029629629629629634,0.7692307692307693,0.3399329143376962,False
IUCN,1.725299376193235,3,0.0,0,0.0,0.0,0.0,0.0,True
United Kingdom,4.9265423807886695,8,25.54942545269831,4,0.4,0.022222222222222223,0.625,0.17845223323785117,False
United States,2.388614730314437,4,27.91015336496213,9,0.9,0.10555555555555556,0.9090909090909091,0.38993008787181516,False
Australia,6.165617630195003,9,22.30001327281119,2,0.2,0.0,0.5555555555555556,0.08503001114467786,False
IAATO,0.7021018972340268,1,0.0,0,0.0,0.0,0.0,0.0,True
France,1.715879706511776,3,19.348775860871473,8,0.8,0.05370370370370369,0.8333333333333334,0.3670881284601897,False
Germany,1.2490242808841687,2,12.957673265141969,6,0.6000000000000001,0.0,0.7142857142857143,0.3170909549260707,False
New Zealand,6.149823940693041,9,45.532187547256434,10,1.0,0.2611111111111111,1.0,0.40081402838167135,False
Russian Federation,1.1082684332451502,2,8.884302671533536,3,0.30000000000000004,0.0,0.5882352941176471,0.16995652848019205,False
